,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
106,General Tsos Chicken,"A sweet, deep-fried chicken dish served with sauteed chili peppers, garlic, ginger in a sesame-soy glaze.","Tempura-battered chicken (boneless skinless dark meat chicken, soybean oil, rice starch, salt, garlic powder, spices, wheat flour, corn starch, palm oil, salt, garlic powder, onion powder, yellow corn flour, cream of tartar, sodium bicarbonate, dextrose, vegetable oil), beet sugar, canola oil, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), green onion, gluten-free chicken broth (chicken, salt, sugar, chicken fat, corn starch, hydrolyzed corn protein, autolyzed yeast extract, potassium chloride, maltodextrin, chicken broth, natural flavors, disodium inosinate, disodium guanylate, cooked chicken powder, turmeric), canola/olive oil blend, garlic, rice vinegar, ginger, cornstarch, pure toasted sesame oil (processed in a facility that also processes peanuts, tree nuts, seed-based, and soybean oil), dried Japones chili pepper, lemon zest",298.34,20.82,7.75,21.27
107,Steamed Green Beans,"Fresh green beans, steamed until tender",,,,,
108,Sweet & Sour Tofu,Crispy fried tofu marinated in our house sweet & sour sauce,"Firm tofu, house-made sweet and sour sauce (rice vinegar, beet sugar, ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], cornstarch, lime juice, green bell peppers, carrots, yellow onion, light brown beet sugar, less-sodium soy sauce [water, soybeans, wheat, salt, lactic acid, sodium benzoate], pineapple, canola oil, pure vanilla extract, red food coloring [water, U.S. Certified Colors {FD&C red #40 and blue #1}, citric acid, 1/10 of 1% benzoate of soda], Tabasco hot sauce [distilled vinegar, red pepper, salt]), canola oil, cornstarch",123.95,7.71,4.41,9.78
109,Creamy Bacon Pasta with Peas,"Lentil penne pasta with a house plant-based cream sauce and topped with peas, bacon, and tomatoes","House made cream sauce (plant-based vegan cream [lentil milk {water, lentil protein}, palm kernel oil, canola oil, palm oil, sugar, modified corn starch, sucrose esters of fatty acid, natural flavor, mono- and di-glycerides, salt, guar gum, sunflower lecithin, locust bean gum, beta-carotene], cornstarch, lemon juice, gluten-free chicken soup base [roasted and cooked chicken meat, salt, sugar, chicken fat, corn starch, hydrolyzed corn protein, autolyzed yeast extract, potassium chloride, maltodextrin, chicken broth, natural flavors, disodium inosinate, disodium guanylate, cooked chicken powder, turmeric], kosher salt), penne pasta (gluten-free lentil penne pasta [red lentil flour, white rice, pea protein], canola/olive oil blend, kosher salt), bacon, green peas, tomatoes, yellow onion, canola/olive oil blend",860.01,59.83,20.89,60.12
110,Roasted Cauliflower,Cauliflower tossed in olive oil and roasted with salt and pepper,,,,,
111,Steamed Garlic Green Beans,Fresh green beans sauteed with garlic and lightly seasoned,,,,,
112,Savory White Beans,"White beans with celery, tomatoes, and herbs",,,,,
113,Pepperoni Pizza,"Pizza topped with pepperoni, Mozzarella, and Parmesan cheese.","Pizza dough (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), pepperoni (pork, beef, salt. Contains 2% or less of water, spice, seasoning [cane sugar, celery juice powder], seasoning [extractives of paprika, natural spice extractives], lactic acid starter culture), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), canola oil, garlic powder, Italian seasoning, house-made pizza sauce (pear tomatoes, garlic, salt, ground black pepper, oregano, Italian seasoning, basil, ground Cayenne pepper, thyme, marjoram)",233.42,9.36,8.99,27.67
114,Spinach Alfredo Pizza,"Topped with our house made Alfredo sauce, cheese, tomato, onion, and spinach.","Pizza dough (enriched unbleached wheat flour, water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening, Cheddar cheese, low moisture part skim Mozzarella cheese, whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese, house alfredo sauce (reduced fat milk, white cream sauce base [modified cornstarch, whey, lactose, sunflower oil, corn syrup solids, salt, hydrolyzed corn protein. Contains 2% or less of sodium caseinate, carrageenan, yeast extract, color added, dipotassium phosphate, mono- and diglycerides, dried onions, soy lecithin, disodium guanylate, disodium inosinate, lactic acid, calcium lactate, maltodextrin, natural flavor, dextrose], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), tomato, red onion, spinach, canola oil, garlic, Italian seasoning",230.91,8.24,8.97,29.69
115,Hot & Sour Soup,"Mushrooms sauteed with ginger, garlic, and bamboo shoots. Simmered in chicken broth and soy sauce",,,,,
116,Split Pea Soup,,,,,,
117,Spicy Pork and Mustard Greens Soup,Delicious yet spicy pork soup with mustard greens!,,,,,
118,Curried Tortellini Salad,Curried cheese tortellini salad with mayonnaise and finely diced onion and celery,"Cheese tortellini pasta (contains wheat/gluten egg, and dairy), red seedless grapes, mayonnaise (contains egg and soybean oil), red onion, celery, curry powder, iodized salt, ground black pepper",166.21,10.29,2.74,16.37
119,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
120,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
121,Deli Bar,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,-1.0,-1.0,-1.0,-1.0
122,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
123,Lemon & Cream Shortcake,"Per manufacturer, may contain peanuts, tree nuts, and soy.","Lemon filling sugar, water, liquid whole eggs, palm and soybean oil shortening, concentrated lemon juice, modified corn starch, lemon puree, natural flavor, turmeric, whipping cream (cream, milk, carrageenan, cellulose gel, cellulose gum), sugar, enriched bleached wheat flour (wheat flour, niacin, iron, thiamine, riboflavin, folic acid), water, eggs, canola oil, confectioner`s sugar (sugar, corn starch), nonfat dry milk, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate, calcium sulfate), modified food starch, salt, alginate blend (tetrasodium diphosphate, sodium alginate), natural flavor. Per manufacturer, may contain peanuts, soy, and tree nuts",260.0,14.0,3.0,31.0
124,Oatmeal Cookie,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Oats, brown sugar, margarine (palm oil, water, soybean oil, salt, mono- and diglycerides, annatto, calcium disodium EDTA, vitamin A palmitate), sugar, raisins, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), eggs, cinnamon, baking soda, vanilla extract, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",360.0,14.0,6.0,52.0
125,Platform Hours 7am-10am,"Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",Eggs,71.5,4.75,6.28,0.36
126,Southwestern Omelet,"Fluffy omelet filled with ham, roasted pepper and onions, cheese, and our house Chipotle sour cream","Cage-free eggs, canola/olive oil blend, smoked deli ham (pork cured with water, salt, sugar, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite), house Chipotle sour cream (Mexican sour cream [cultured cream. Contains less than 2% of whey, modified food starch {corn}, sodium tripolyphosphate, carrageenan, calcium sulfate, locust bean gum, guar gum, sat, gelatin, potassium sorbate], Chipotle Adobo pepper sauce [water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices]), milk yellow Cheddar cheese, red and green bell peppers, yellow onion",1161.33,113.66,36.34,3.52
127,Cheese Omelet,Fluffy egg omelet filled with Cheddar and Monterey Jack cheese,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)",616.95,53.92,30.24,0.51
128,Diced Potatoes,Savory diced potatoes deep fried until golden brown,"Diced hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), canola oil",160.43,9.9,1.33,15.32
129,House Roasted Salsa,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro","Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt",10.15,0.4,0.32,1.6
130,Eggs Fried to Order,"Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",Eggs,71.5,4.75,6.28,0.36
131,Vanilla Chia Seed Pudding,Vanilla chia seed pudding made with coconut milk,"Coconut milk, chia seeds, beet sugar, imitation vanilla",448.79,41.51,5.24,20.46
132,Housemade Granola,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses",360.18,17.33,8.03,47.13
133,Fruit Salad,A delicious and nutritious blend of fresh fruit!,"Cantaloupe, pineapple, red grapes, honeydew melon",42.3,0.64,0.49,9.79
134,Oatmeal,Hot old-fashioned rolled oats (may contain wheat/gluten),"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt.",105.04,1.94,3.6,18.85
135,Hard Boiled Eggs,"Cage-free, hard boiled eggs",Cage free eggs,71.5,4.76,6.28,0.36
136,Mini Plain Bagel,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",359.99,1.5,12.99,71.0
137,Banana Walnut Bread,(may contain: peanuts),"Sugar, enriched wheat flour bleached (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), modified food starch, soybean oil, dry whey [milk], leavening (sodium aluminum phosphate, baking soda), salt, vital wheat gluten, propylene glycol mono & diglycerides of fatty acids, mono and diglycerides, sodium steroyl latylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid (dough conditioner), alpha tocopherol as preservative, citric acid, eggs, soybean oil, walnuts, banana, flavor (natural flavor, ethyl alcohol, water), potassium sorbate",243.64,14.54,3.27,25.82
138,Bear Claw,(may contain: peanuts),"Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), milk (with vitamin D3), butter (pasteurized cream, natural flavors), sugar, yeast, salt, unbleached enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour (contains soy lecithin), leavening (sodium acid pyrophosphate, sodium bicarbonate), isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier (polyglycerol esters of fatty acids and monoglycerides, rice starch), spice, beta carotene, water, palm oil, natural almonds, almond paste (almonds, sugar, water, potassium sorbate, natural and artificial flavor), eggs, unbleached wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), pure cane sugar, unsweetened chocolate (natural cocoa, vegetable shortening [soybean oil, vegetable mono and diglycerides, tocopherols, vitamin C palmitate], soybean oil, emulsifiers [soy lecithin, water, polyglycerol esters, diacetyl tartaric acid esters of mono and diglycerides], cocoa [processed with alkali], sugar, salt, corn starch, natural and artificial flavors), corn syrup, apricot glaze, vanilla extract (alcohol, bourbon vanilla beans, and water), natural almond emulsion. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",240.0,15.0,5.0,22.0
139,Maple Donut Vegan,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy.","Donut ingredients: unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Icing ingredients: powdered sugar, corn syrup, maple extract, vanilla extract (alcohol, bourbon vanilla beans, water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy.",370.0,21.0,4.0,43.0
140,Pasta Bar,"Featuring our house made marinara, alfredo and bolognese sauces with vegetables",[Placeholder] - all major allergens;,-1.0,-1.0,-1.0,-1.0
141,Shredded Chicken,,"Halal chicken thighs, chicken broth (water, roasted and cooked chicken meat, salt, sugar, chicken fat, corn starch, hydrolyzed corn protein, autolyzed yeast extract, potassium chloride, maltodextrin, chicken broth, natural flavors, disodium inosinate, disodium guanylate, cooked chicken powder, turmeric), canola/olive oil blend",80.44,3.66,11.1,0.05
142,Italian Meatballs,Beef meatballs baked with Italian seasoning,"Beef meatballs (beef, water, wheat flour, seasoning [Romano cheese {pasteurized milk, cheese cultures, salt, enzymes}, salt, whole egg powder, dried garlic, dried parsley, spice, brown sugar, caramel color], texturized soy protein concentrate [soy protein concentrate, caramel color, zinc oxide, niacinamide, ferrous sulfate, copper gluconate, vitamin A palmitate, calcium pantothenate, thiamine mononitrate, vitamin B6, riboflavin, vitamin B12], soy protein concentrate, eggs, sodium phosphate)",294.12,22.35,16.47,7.06
143,BBQ Chicken Thigh,Chicken grilled and tossed in BBQ sauce,"Halal chicken drumsticks, Cannonball BBQ sauce (sugar, distilled vinegar, water, tomato paste, molasses, modified potato starch, salt. Contains less than 2% of natural smoke flavor, mustard flour, spice, paprika, dried onion, dried garlic, caramel color, maltodextrin, chili powder [chili pepper, spice, salt, garlic], autolyzed yeast extract, natural flavor), dark chili powder, kosher salt, light brown beet sugar, garlic powder, smoked paprika, ground dry mustard, ground black pepper",163.51,8.35,16.17,5.05
144,Herb Roasted Red Potatoes,Roasted red potatoes tossed with herbs and lemon juice,"Red potatoes, lemon juice, canola/olive oil blend, kosher salt, fresh Italian parsley, thyme, Mediterranean oregano",64.73,1.15,1.51,12.72
145,Sauteed Garlic Green Beans,Fresh green beans sauteed with garlic and lightly seasoned,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper",49.27,2.81,1.55,6.02
146,Southwest Black Beans,"Black beans cooked with bell peppers, onions, and spices.",,,,,
147,Steamed Green Peas,Freshly steamed peas,,,,,
148,Student Farm Rainbow Carrots,"Fresh rainbow carrots, lightly roasted and seasoned",,,,,
149,Make-Your-Own Mongolian BBQ,"Mongolian stir-fry with choice of protein, noodles and vegetables",[Placeholder] - all major allergens;,-1.0,-1.0,-1.0,-1.0
150,Vegetable Posole with White Beans,"A Mexican-style stew prepared with white beans, onions, herbs and chili peppers",,,,,
151,Cheeseburger,"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.","Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)",495.67,32.33,28.01,29.86
152,Falafel Burger,Deep-fried house made chickpea patties with cucumber mint spread and harissa pickled onions on a toasted sesame bun.,"House-made falafel patty (garbanzo beans, Panko breadcrumbs [bleached wheat flour, shortening {palm oil}, sugar, yeast, salt], fresh cilantro, bulgur wheat, lemon juice, iodized salt, garlic, ground cumin, crushed red pepper, ground black pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy], vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), vegan mint sauce (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], cucumber, fresh mint, tahini paste [contains sesame], lemon juice), tomatoes, pickled onions (red onion, red wine vinegar, beet sugar, kosher salt, green Jalapeno pepper, ground cumin, ground Cayenne pepper, smoked paprika), canola oil, butter lettuce",612.43,29.69,15.56,72.04
153,Waffle Fries,,,204.55,13.45,1.68,17.61
154,Hawaiian Bacon Pizza,Cheese pizza topped with pineapple and bacon,"Pizza Dough, Pizza Sauce (Tomato, Garlic, Salt, Marjoram, Black Pepper, Italian Seasoning, Oregano, Basil, Cayenne Pepper, Thyme), Mozzarella Cheese, Pineapple, Ham, Garlic Oil",223.25,7.48,8.58,29.65
155,California Veggie Pizza,"Topped with ranch dressing, cheese, tomatoes, olives, artichoke hearts, and onions","Pizza Dough, Artichoke Hearts, Mozzzarella Cheese, Monterey Jack Cheese, Ranch Dressing, Tomato, Parmesan Cheese, Olives, Garlic, Parsley, Green Onion",260.31,11.84,8.72,29.24
156,Split Pea & Ham Soup,"Hearty pea soup with ham, celery, onions, and garlic. Seasoned with white pepper and parsley flakes",,196.17,1.58,13.05,33.4
157,Miso Soup,,,,,,
158,New York Chicken & Walnut Waldorf Salad,"Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.","Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt",177.7,12.45,6.68,11.42
159,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
160,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
161,Chopped Salad,"Chopped romain lettuce, olives, crutons, cucumbers, and tomatoes.",,-1.0,-1.0,-1.0,-1.0
162,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
163,Classic Coleslaw,"Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing","Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing",,,,
164,Curried Tortellini Salad,Curried cheese tortellini salad with mayonnaise and finely diced onion and celery,"Cheese tortellini pasta (contains wheat/gluten egg, and dairy), red seedless grapes, mayonnaise (contains egg and soybean oil), red onion, celery, curry powder, iodized salt, ground black pepper",166.21,10.29,2.74,16.37
165,Deli Bar,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,-1.0,-1.0,-1.0,-1.0
166,Strawberry Shortcake,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",,,,,
167,Chocolate Chip Cookie,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",400.0,19.0,4.0,55.0
168,Vegan Oatmeal Raisin Cookie,,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda",177.0,6.1,3.0,41.0
169,BBQ Chicken Thigh,Chicken grilled and tossed in BBQ sauce,"Halal chicken drumsticks, Cannonball BBQ sauce (sugar, distilled vinegar, water, tomato paste, molasses, modified potato starch, salt. Contains less than 2% of natural smoke flavor, mustard flour, spice, paprika, dried onion, dried garlic, caramel color, maltodextrin, chili powder [chili pepper, spice, salt, garlic], autolyzed yeast extract, natural flavor), dark chili powder, kosher salt, light brown beet sugar, garlic powder, smoked paprika, ground dry mustard, ground black pepper",163.51,8.35,16.17,5.05
170,Herb Roasted Red Potatoes,Roasted red potatoes tossed with herbs and lemon juice,"Red potatoes, lemon juice, canola/olive oil blend, kosher salt, fresh Italian parsley, thyme, Mediterranean oregano",64.73,1.15,1.51,12.72
171,Steamed Garlic Green Beans,Fresh green beans steamed with garlic and lightly seasoned,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper",49.27,2.81,1.55,6.02
172,Southwest Black Beans,"Black beans cooked with bell peppers, onions, and spices.",,,,,
173,Steamed Green Peas,Freshly steamed peas,,,,,
174,Student Farm Rainbow Carrots,"Fresh rainbow carrots, lightly roasted and seasoned",,,,,
175,Cheeseburger,"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.","Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)",495.67,32.33,28.01,29.86
