,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
46,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
47,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
48,CHEF CHOICE SALAD,,,-1.0,-1.0,-1.0,-1.0
49,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
50,Babaghanoush,"An Arabic spread made from eggplant, lemon juice, tahini, garlic, and a blend of canola and olive oil.","Eggplant, tahini paste (ground hulled sesame seeds), lemon juice, iodized salt, garlic, canola/olive oil blend",33.8,2.08,1.21,3.11
51,Roasted Yellow Pepper Phesto Spread,,"Yellow bell pepper, extra virgin olive oil, chopped walnuts, fresh basil, canola/olive oil blend, garlic, iodized salt, kosher salt, crushed red pepper",48.3,4.21,0.73,2.85
52,Tiramisu,"Per manufacturer, produced in a plant that manufactures products made with peanuts and tree nuts","Mascarpone cheese (cream [milk], milk, citric acid), topping (water, palm kernel oil, coconut oils, high fructose corn syrup, sugar. Contains less than 2% of sodium caseinate, dextrose, polysorbate 60, sorbitan monostearate, guar gum, xanthan gum, beta carotene), water, lady finger cookies (wheat flour, sugar, eggs, leavening agents [sodium carbonate acid, ammonium carbonate acid], glucose syrup, natural flavoring, salt), sugar, sugared egg yolks (egg yolks, sugar), coffee liquor, cocoa powder, instant coffee, brandy liquor, modified food starch, whip stabilizer (sugar, corn starch, xanthan gum, sodium bicarbonate, citric acid, carob bean gum). Per manufacturer, produced in a plant that manufactures products made with peanuts and tree nuts.",170.0,8.5,2.0,20.5
53,Chocolate Chip Cookie,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",400.0,19.0,4.0,55.0
54,Vegan Oatmeal Raisin Cookie,,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda",177.0,6.1,3.0,41.0
55,Strawberry and Banana French Toast,Toasted Challah bread spread with our house-made banana cream sauce and sprinkled with strawberries and toppings,"Whole milk, banana cream sauce (cream cheese [pasteurized milk and cream, salt, carob bean gum, cheese culture], whole milk, candied walnuts [walnuts, sugar, vegetable oil {peanut, cottonseed, soybean and/or sunflower seed}. Contains less than 2% of honey, brown sugar, sea salt. Per manufacturer, may contain peanuts and soy], bananas, light brown beet sugar [sugar, molasses], lemon juice, ground cinnamon), Challah bread (enriched unbleached flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, sugar, eggs, yeast. Contains 2% or less of extra virgin olive oil, canola oil, sea salt, diacetyl tartaric acid esters of mono-diglycerides [datem], soybean oil, enzymes, ascorbic acid, l-cysteine hydrochloride, calcium sulfate, wheat starch), whipped cream, cage-free eggs, fresh strawberries, Special K cereal (rice, wheat gluten, sugar, defatted wheat germ. Contains 2% or less of salt, malt flavor. Enriched with vitamins and minerals: reduced iron, vitamin c, niacinamide, vitamin e acetate, beta-carotene, folic acid, vitamin b6, vitamin b1, vitamin b2, vitamin d3, vitamin b12), beet sugar, kosher salt, ground cinnamon",589.38,28.98,15.86,60.73
